year,rank,title,artist,lyrics
2000,1,Breathe,Faith Hill,"I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face
And I've never been this swept away
All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear is the beating of your heart

'Cause I can feel you breathe
It's washing over me
And suddenly I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch
Slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

In a way I know my heart is waking up
As all the walls come tumbling down
Closer than I've ever felt before
And I know, and you know
There's no need for words right now

'Cause I can feel you breathe
It's washing over me
And suddenly I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch
Slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

Caught up in the touch
Slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe, just breathe
I can feel the magic floating in the air
Being with you gets me that way"
2000,2,Smooth,Santana ,"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whispering and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason
The step in my groove, yeah

And if you said this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood, yeah
'Cause you're so smooth

Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real
Or else forget about it

Well, I'll tell you one thing
If you would leave, it'd be a crying shame
In every breath and every word 
I hear your name calling me out, yeah
Out from the barrio, you hear my rhythm on your radio
You feel the turning of the world so soft and slow
Turning you 'round and 'round

And if you said this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood, yeah
'Cause you're so smooth

Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real
Or else forget about it
Yeah

Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real
Or else forget about it, yeah

Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
Give me your heart, make it real
Oh, let's don't forget about it, yeah
Let's don't forget about it, yeah, oh no
Oh, let's don't forget about it, oh no, no
Oh, let's don't forget about it, yeah, oh no
Oh, let's don't forget about it
Yeah, yeah"
2000,3,Maria Maria,Santana ,"[Intro: Wyclef Jean] Ladies and gents, turn up your sound systems to the sound of Carlos Santana and the G&B, its The Product of get-away blues from the refugee camp  [Chorus: David McRae] Oh Maria Maria She reminds me of a west side story Growing up in Spanish Harlem Shes living the life just like a movie star Oh Maria Maria She fell in love in East L.A To the sounds of the guitar, yeah, yeah Played by Carlos Santana  [Guitar Solo: Carlos Santana]  [Verse 1: David McRae] Stop the looting, stop the shooting Pick pocking on the corner See as the rich is getting richer The poor is getting poorer Se mira Maria on the corner Thinking of ways to make it better In my mailbox theres an eviction letter Signed by the judge said see you later  [Bridge: Santana + (Wyclef Jean)] Ahora vengo mama chula mama chula Ahora vengo mama chula (East Coast) Ahora vengo mama chula mama chula Ahora vengo mama chula (West Coast)  [Chorus: David McRae] Oh Maria Maria She reminds me of a west side story Growing up in Spanish Harlem Shes living the life just like a movie star Oh Maria Maria She fell in love in East L.A To the sounds of the guitar, yeah, yeah Played by Carlos Santana  [Guitar Solo: Carlos Santana]  [Verse 2: David McRae] I said a la favella los colores The streets are getting hotter There is no water to put out the fire Ni gota de esperanza Se mira Maria on the corner Thinking of ways to make it better Then I looked up in the sky Hoping of days of paradise  [Bridge: Santana] Ahora vengo mama chula mama chula Ahora vengo mama chula (North side) Ahora vengo mama chula mama chula Ahora vengo mama chula (South side) Ahora vengo mama chula mama chula Ahora vengo mama chula (worldwide) Ahora vengo mama chula mama chula Ahora vengo mama chula (open up your eyes)  [Verse 3: David McRae] Maria you know youre my lover When the wind blows I can feel you Through the weather and even when were apart It feels like were together  [Chorus: David McRae] Maria, yeah She reminds me of a west side story Growing up in Spanish Harlem Shes living the life just like a movie star Oh Maria Maria She fell in love in East L.A To the sounds of the guitar, yeah, yeah Played by Carlos Santana  [Guitar Solo: Carlos Santana]  [Outro: Wyclef] Put em up, yall Carlos Santana with the Refugee Camp Wyclef Jerry Wonda Mr. Santana G&B Yo Carlos, man, youre making that guitar cry"
2000,4,I Wanna Know,Joe,"Yeah, oh yeah
All right, oh, oh, oh

It's amazing how you knock me off my feet, hmm
Every time you come around me I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So I wanna know

I wanna know what turns you on
I wanna know
So I can be all that and more
I'd like to know what makes you cry
So I can be the one who always makes you smile

Girl he never understood what you were worth, hmm no
And he never took the time to make it work
(You deserve more loving, girl)
Baby I'm the kind of man who shows concern, yes I do, oh
Anyway that I can please you let me learn
So I wanna know

I wanna know what turns you on
I wanna know
So I can be all that and more
I'd like to know what makes you cry
So I can be the one who always makes you smile

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

I wish that I could take a journey through your mind, all right
And find emotions that you always try to hide babe, oh
I do believe that there's a love you wanna share, oh, oh
I'll take good care of you lady, have no fear, oh
So I wanna know

I wanna know what turns you on
I wanna know
So I can be all that and more
I'd like to know what makes you cry
So I can be the one who always makes you smile

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

Tell me what I gotta do to please you
Baby anything you say I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true

I wanna know what turns you on
I wanna know
So I can be all that and more
I'd like to know what makes you cry
So I can be the one who always makes you smile

I wanna know what turns you on"
2000,5,Everything You Want,Vertical Horizon,"Somewhere there's speaking, it's already coming in
Oh and it's rising at the back of your mind
You never could get it unless you were fed it
And now you're here and you don't know why

But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen, listen and wait for
The echoes of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you that you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you and you don't know why

You're waiting for someone to put you together
You're waiting for someone to push you away
There's always another wound to discover
There's always something more you wish he'd say

He's everything you want
He's everything you need
He's everything inside of you that you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you and you don't know why

But you'll just sit tight and watch it unwind
It's only what you're asking for
And you'll be just fine with all of your time
It's only what you're waiting for

Out of the island and into the highway
Past the places where you might have turned
You never did notice, but you still hide away
The anger of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you that you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you and you don't know why

I am everything you want
I am everything you need
I am everything inside of you that you wish you could be
I say all the right things
At exactly the right time
But I mean nothing to you and I don't know why

And I don't know why
Why
And I don't know"
2000,6,Say My Name,Destiny's Child,"Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Better say my name

Any other day I would call, you would say
""Baby how's your day?"" But today it ain't the same
Every other word is a, yeah okay
Could it be that you are at the crib wit another lady?

If you took it there, first of all let me say
I am not the one to sit around and be played
So prove yourself to me and the girl that you're playin'
Why don't you say the things that you said to me yesterday?

I know you sayin' that I'm assuming things
Something's goin' down that's the way it seems
Shouldn't be a reason why you're acting strange
Nobody's holding you back from me

'Cause I know how you usually do
When you sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Betta say my name

What is up wit this, tell the truth who you with?
How would you like it if I came over with my clique?
Don't try to change it now, see you gotta bounce
When two seconds ago you said you just got in the house

It's so hard to believe that you are at home by yourself
When I just heard the voice, heard the voice of someone else
Just this question, why do you feel you gotta lie?
You caught up in your game, you cannot say my name

I know you sayin' I'm assuming things
Something's goin' down that's the way it seems
Shouldn't be a reason why you're acting strange
If nobody's holding you back from me

'Cause I know how you usually do
When you sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Better say my name

Yeah yeah yeah yeah
Yeah yeah yeah yeah
Yeah yeah yeah
Oh

I know you sayin' that I'm assuming things
Something's goin' down that's the way it seems
Shouldn't be a reason why you're acting strange
If nobody's holding you back from me

'Cause I know how you usually do
When you sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Better say my name

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Why the sudden change?

Say my name, say my name
If no one is around you, say ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You acting kind of shady, ain't callin' me baby
Better say my name

Thou shall know she can't love you"
2000,7,I Knew I Loved You,Savage Garden,"Maybe it's intuition
But some things you just don't question
Like in your eyes
I see my future in an instant
And there it goes
I think I've found my best friend

I know that it might sound more than a little crazy
But I believe

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

There's just no rhyme or reason
Only this sense of completion
And in your eyes
I see the missing pieces
I'm searching for
I think I've found my way home

I know that it might sound more than a little crazy
But I believe

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

A thousand angels dance around you
I am complete now that I've found you

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

(I knew I loved you before I met you) Ooh
(I knew I loved you)
(I knew I loved you before I met you) Ooh
(I knew I loved you)
(I knew I loved you before I met you)
(I knew I loved you) Oh
(I knew I loved you before I met you)
(I knew I loved you)"
2000,8,Amazed,Lonestar,"Every time our eyes meet
This feelin' inside me
Is almost more than I can take
Baby, when you touch me
I can feel how much you love me
And it just blows me away

I've never been this close to anyone or anything
I can hear your thoughts
I can see your dreams

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life
With you by my side
For ever and ever

Every little thing that you do
Baby, I'm amazed by you

The smell of your skin
The taste of your kiss
The way you whisper in the dark
Your hair all around me
Baby you surround me
You touch every place in my heart

Oh, it feels like the first time everytime
I wanna spend the whole night in your eyes

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life
With you by my side
For ever and ever

Every little thing that you do
Baby I'm amazed by you

Every little thing that you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life
With you by my side
Forever and ever

Every little thing that you do
Oh, every little thing that you do
Baby I'm amazed by you"
2000,9,Bent,Matchbox Twenty,"And if I fall along the way
Pick me up and dust me off
And if I get too tired to make it
Be my breath so I can walk

And if I need some other love, then
Give me more than I can stand
And when my smile gets old and faded
Wait around I'll smile again

Shouldn't be so complicated
Just hold me and then
Oh, just hold me again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together

Keep breaking me in
And this is how we will end
With you and me bent

And if I couldn't sleep, could you sleep?
Could you paint me better off?
And could you sympathize with my needs?
I know you think I need a lot

I started out clean but I'm jaded
Just phoning it in
Oh, just breaking the skin

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together

Keep breaking me in
And this is how we will end
With you and me bent

Start bending me
It's never enough till I feel all your pieces
Start bending me
Keep bending me until I'm completely broken in

Shouldn't be so complicated
Just touch me and then
Oh, just touch me again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together

Keep breaking me in
And this is how we will end
With you and me landin' without understanding
Hell, I'd go there again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together

Yeah, you're breaking me in
And this is how we will end
With you and me bent"
2000,10,He Wasn't Man Enough,Toni Braxton,"Darkchild, Toni Braxton
Darkchild yeah

Listen, girl
Who do you think I am?
Don'tcha know that he was my man?
But I chose to let him go
So why do you react like I still care about him?
Looking at me like I'm hurt
When I'm the one who said I didn't want it to work
Don't you forget I had him first!

What you thinkin', stop blaming me
He wasn't man enough for me
If you don't know, now here's your chance
I've already had your man
Do you wonder just where he's been, yeah
Then I'd be worried about him
Now it's time you know the truth
I think he's just the man for you

What are you thinking?
Do you know about us back then?
Do you know I dumped your husband, girlfriend.
I'm not thinking 'bout him, but you married him
Do you know I made him leave
Do you know he begged to stay, with me
He wasn't man enough for me

Listen, girl,
Didn't he tell you the truth?
If not then why don't you ask him
Then maybe you can be more into him
Instead of worrying about me
And hopefully you won't buy
All of the reasons why his love didn't count
And why we couldn't work it out

What you thinkin', stop blaming me
He wasn't man enough for me
If you don't know, now here's your chance
I've already had your man
Do you wonder just where he's been, yeah
Then I'd be worried about him
Now it's time you know the truth
I think he's just the man for you

What are you thinking?
Do you know about us back then?
Do you know I dumped your husband, girlfriend.
I'm not thinking 'bout him, but you married him
Do you know I made him leave
Do you know he begged to stay, with me
He wasn't man enough for me

Oh yeah, so many reasons why our love is through, yeah
What makes you think he'll be good to you, no
It makes no sense 'cause he will never change
Girl, you better recognize the game

What are you thinking?
Do you know about us back then?
Do you know I dumped your husband, girlfriend.
I'm not thinking 'bout him, but you married him
Do you know I made him leave
Do you know he begged to stay, with me
He wasn't man enough for me"
